登记证号,农药名称,农药类别,剂型,总含量,有效期至,登记证持有人,持有人地址
EX20250196,氟虫腈,杀虫剂,水分散粒剂,80%,2031-1-20,浙江富农生物科技有限公司,浙江省温州市海滨街道蓝田工业区
PD20110075,阿维·矿物油,杀虫剂,乳油,30%,2031-1-19,山东省栖霞市通达化工有限公司,山东省烟台市栖霞市市府路西首
PD85150-42,多菌灵,杀菌剂,可湿性粉剂,50%,2031-1-18,山东尚农农业科技有限公司,山东省菏泽市鄄城县化工产业聚集区
PD20110074,戊唑醇,杀菌剂,悬浮剂,430克/升,2031-1-18,江苏腾龙生物药业有限公司,江苏省盐城市大丰区王港闸南首
PD20110073,草甘膦异丙胺盐,除草剂,水剂,46%,2031-1-18,江苏扬农化工股份有限公司,江苏省扬州市文峰路39号
PD20110072,杀虫双,杀虫剂,水剂,29%,2031-1-18,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD91104-9,敌敌畏,杀虫剂,乳油,50%,2031-1-17,山东恒利达生物科技有限公司,山东省济南市商河县经济开发区科源路
PD91104-30,敌敌畏,杀虫剂,乳油,50%,2031-1-17,武汉武隆农药有限公司,武汉市硚口区解放大道28号云彩大厦2-1701室
PD91104-27,敌敌畏,杀虫剂,乳油,48%,2031-1-17,艾格福作物科技有限公司,山东省德州市夏津县北城街道西二环路以东、步云街以北
PD20110071,烯禾啶,除草剂,乳油,12.5%,2031-1-17,沈阳世一科技有限公司,辽宁省沈阳市经济技术开发区冶金十一路3号
PD20110070,丙溴磷,杀虫剂,乳油,50%,2031-1-17,江西威敌生物科技有限公司,江西省南昌市进贤县工业开发区威化路
PD85154-28,氰戊菊酯,杀虫剂,乳油,20%,2031-1-16,四川省川东农药化工有限公司,四川省达州市渠县渠江镇东大街
PD85129,马拉硫磷,杀虫剂,乳油,70%,2031-1-15,宁波三江益农化学有限公司,浙江省宁波市镇海区宁波化学工业区北海路1165号
WP20210010,电热蚊香液,卫生杀虫剂,电热蚊香液,1.2%,2031-1-13,福建省晋江市老君日化有限责任公司,福建省泉州市晋江市五里工业区
WP20210009,电热蚊香液,卫生杀虫剂,电热蚊香液,1.2%,2031-1-13,晋江金童蚊香制品有限公司,福建省泉州市晋江市经济开发区（五里园）兴丁路11号
WP20210008,电热蚊香片,卫生杀虫剂,电热蚊香片,13毫克/片,2031-1-13,江苏优嘉植物保护有限公司,江苏省如东沿海经济开发区通海五路
WP20210007,电热蚊香液,卫生杀虫剂,电热蚊香液,0.6%,2031-1-13,江苏优嘉植物保护有限公司,江苏省如东沿海经济开发区通海五路
WP20210006,蚊香,卫生杀虫剂,蚊香,0.08%,2031-1-13,江苏优嘉植物保护有限公司,江苏省如东沿海经济开发区通海五路
WP20210005,电热蚊香液,卫生杀虫剂,电热蚊香液,0.62%,2031-1-13,厦门市胜伟达工贸有限公司,福建省厦门市前埔工业区2号
WP20210004,杀虫热雾剂,卫生杀虫剂,热雾剂,2%,2031-1-13,江苏功成生物科技有限公司,江苏省南通市如东县洋口化工园黄海五路
WP20210003,联苯菊酯,卫生杀虫剂,悬浮剂,5%,2031-1-13,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
WP20210002,残杀威·氯氟醚菊酯,卫生杀虫剂,乳油,8%,2031-1-13,江苏功成生物科技有限公司,江苏省南通市如东县洋口化工园黄海五路
WP20210001,氯虫苯甲酰胺,卫生杀虫剂,悬浮剂,200克/升,2031-1-13,瑞士先正达作物保护有限公司,上海市中国(上海)自由贸易试验区栖霞路26弄3号富汇大厦6楼
PD20210099,烯草酮,除草剂,乳油,35%,2031-1-13,吴桥农药有限公司,河北省吴桥县经济开发区宋门工业园区
PD20210098,丙草·丙噁·松,除草剂,乳油,48%,2031-1-13,安徽尚禾沃达生物科技有限公司,安徽省合肥市史河路凤凰城2期31栋102室
PD20210097,噁唑·氰氟,除草剂,乳油,25%,2031-1-13,浙江天一生物科技有限公司,浙江省绍兴市杭州湾上虞经济技术开发区纬三路16号
PD20210096,唑啉·炔草酯,除草剂,乳油,5%,2031-1-13,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20210095,唑啉草酯,除草剂,乳油,5%,2031-1-13,浙江中山化工集团股份有限公司,浙江省长兴县小浦镇中山村
PD20210094,吡酰草·双氟草,除草剂,悬浮剂,16%,2031-1-13,新乡中电除草剂有限公司,河南省新乡县朗公庙镇新原路口
PD20210093,嘧草醚·五氟磺草胺,除草剂,悬浮剂,10%,2031-1-13,湖南农大海特农化有限公司,绿色化工高新技术产业开发区杨帆大道16号
PD20210092,草铵·草甘膦,除草剂,可溶液剂,36%,2031-1-13,安徽鑫农达化工有限公司,安徽省池州市东至经济开发区
PD20210091,噁唑·氰氟,除草剂,乳油,20%,2031-1-13,山东胜邦绿野化学有限公司,山东省济南市章丘刁镇工业园
PD20210090,"2,4-滴异辛酯",除草剂,水乳剂,57%,2031-1-13,山东滨农科技有限公司,山东省滨州市滨城区滨北办事处永莘路518号
PD20210089,草铵·高氟吡,除草剂,微乳剂,20%,2031-1-13,河南科辉实业有限公司,河南省新密市白寨镇光武陈村
PD20210088,丙草胺·嘧草醚·乙氧氟,除草剂,可分散油悬浮剂,30%,2031-1-13,江西中迅农化有限公司,江西省南昌市安义县工业园区金属材料产业基地（东阳大道）
PD20210087,苄·丁,除草剂,可分散油悬浮剂,53%,2031-1-13,江西中迅农化有限公司,江西省南昌市安义县工业园区金属材料产业基地（东阳大道）
PD20210086,噁草酮,除草剂,悬浮剂,35%,2031-1-13,济南天邦化工有限公司,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西
PD20210085,噁唑酰草胺,除草剂,乳油,10%,2031-1-13,蚌埠圣丹生物化工有限公司,安徽省蚌埠市淮上区沫河口工业园淝河中路23号
PD20210084,敌草隆,除草剂,可湿性粉剂,80%,2031-1-13,南通罗森化工有限公司,江苏省南通市如东县洋口化工聚集区
PD20210083,硝磺·五氟磺,除草剂,可分散油悬浮剂,16%,2031-1-13,张掖市大弓农化有限公司,甘肃省张掖市甘州区东北郊开发区
PD20210082,硝磺·莠去津,除草剂,悬浮剂,55%,2031-1-13,张掖市大弓农化有限公司,甘肃省张掖市甘州区东北郊开发区
PD20210081,草甘·三氯吡,除草剂,可湿性粉剂,60%,2031-1-13,广西汇丰生物科技有限公司,广西壮族自治区覃塘区产业园甘化园区
PD20210080,草甘膦·氯氟酯,除草剂,可湿性粉剂,61.5%,2031-1-13,福华通达化学股份公司,四川省乐山市五通桥区金粟镇福华通达农药1号门
PD20210079,2甲4氯钠,除草剂,可溶粉剂,50%,2031-1-13,济南天邦化工有限公司,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西
PD20210078,"2,4-滴异辛酯",除草剂,乳油,50%,2031-1-13,济南天邦化工有限公司,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西
PD20210077,2甲·草铵膦,除草剂,可溶液剂,23.5%,2031-1-13,山东麒麟农化有限公司,山东省菏泽市巨野县麒麟镇
PD20210076,唑嘧磺草胺,除草剂,可分散油悬浮剂,20%,2031-1-13,安徽丰乐农化有限责任公司,安徽省肥东县合肥循环经济示范园
PD20210075,氰氟草酯,除草剂,乳油,30%,2031-1-13,江苏长青生物科技有限公司,江苏省扬州市江都区浦头镇江灵路1号
PD20210074,氟唑磺隆·甲基二磺隆,除草剂,可分散油悬浮剂,3%,2031-1-13,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20210073,吡嘧磺隆,除草剂,可分散油悬浮剂,20%,2031-1-13,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20210072,精异草·异噁酮·莠去津,除草剂,悬乳剂,42%,2031-1-13,海利尔药业集团股份有限公司,山东省青岛市城阳区城东工业园
PD20210071,三氟羧草醚,除草剂,可溶液剂,21.4%,2031-1-13,山东先达农化股份有限公司,山东省博兴经济开发区
PD20210070,丙炔氟草胺·二甲戊灵,除草剂,乳油,34%,2031-1-13,河南瀚斯作物保护有限公司,河南省商丘市睢阳产业集聚区工业大道与睢化四路交叉口南500米路东
PD20210069,丙草胺·五氟磺草胺,除草剂,颗粒剂,5%,2031-1-13,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20210068,双氟·唑草酮,除草剂,悬乳剂,3%,2031-1-13,济南天邦化工有限公司,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西
PD20210067,2甲4氯酯·嗪草酮·乙草胺,除草剂,乳油,82%,2031-1-13,山东科赛基农生物工程有限公司,潍坊滨海经济开发区临港化工园南扩区创新街以北、临港路以西
PD20210066,异丙隆,除草剂,可分散油悬浮剂,40%,2031-1-13,江西佳田森生物科技有限公司,抚北工业园区鼎兴路西（江西博邦生物药业有限公司1栋101室）
PD20210065,烯草酮,除草剂,乳油,24%,2031-1-13,江苏长青生物科技有限公司,江苏省扬州市江都区浦头镇江灵路1号
PD20210064,氯氟吡氧乙酸异辛酯,除草剂,乳油,288克/升,2031-1-13,江苏长青生物科技有限公司,江苏省扬州市江都区浦头镇江灵路1号
PD20210063,氟唑磺隆·异丙隆,除草剂,可分散油悬浮剂,35%,2031-1-13,合肥合农农药有限公司,安徽省合肥市长丰县双墩镇双三路南侧
PD20210062,苯唑草酮·特丁津,除草剂,可分散油悬浮剂,28%,2031-1-13,吉林金秋农药有限公司,吉林省磐石市磐石大街325号
PD20210061,草铵·草甘膦,除草剂,可溶液剂,36%,2031-1-13,江西中源作物保护有限公司,江西省高安市新世纪工业城
PD20210060,"2,4-滴异辛酯",除草剂,乳油,900克/升,2031-1-13,天津博克百胜科技有限公司,天津市滨海新区大港中塘镇刘塘庄化工区
PD20210059,二氯吡啶酸,除草剂,可溶液剂,30%,2031-1-13,安徽丰乐农化有限责任公司,安徽省肥东县合肥循环经济示范园
PD20210058,苯唑酮·烟嘧隆·莠去津,除草剂,可分散油悬浮剂,25%,2031-1-13,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
PD20210057,草铵·草甘膦,除草剂,可溶液剂,36%,2031-1-13,山东圣鹏科技股份有限公司,山东省济宁市任城区喻屯镇驻地
PD20210056,丙·氧·噁草酮,除草剂,乳油,52%,2031-1-13,山东科赛基农生物工程有限公司,潍坊滨海经济开发区临港化工园南扩区创新街以北、临港路以西
PD20210055,吡嘧·丙草胺,除草剂,颗粒剂,6%,2031-1-13,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20210054,阿维·噻唑膦,杀线虫剂,水乳剂,21%,2031-1-13,江西鼎正生物科技有限公司,江西省抚州市临川区抚北工业园区
PD20210053,灭菌唑,杀菌剂,种子处理悬浮剂,28%,2031-1-13,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20210052,四氟唑·乙嘧酯,杀菌剂,水乳剂,30%,2031-1-13,江西正邦作物保护股份有限公司,江西省高安市新世纪工业城
PD20210051,甲硫灵·精甲霜·嘧菌酯,杀菌剂,种子处理悬浮剂,12%,2031-1-13,美国世科姆公司,上海市普陀区光新路88号中一国际商务大厦1102室
PD20210050,肟菌·戊唑醇,杀菌剂,悬浮剂,30%,2031-1-13,美国环境科技有限公司,北京市东城区王府井大街219号6层101内06-153
PD20210049,精甲·咯·嘧菌,杀菌剂,种子处理悬浮剂,4%,2031-1-13,安徽丰乐农化有限责任公司,安徽省肥东县合肥循环经济示范园
PD20210048,精甲霜灵·烯酰吗啉,杀菌剂,水分散粒剂,60%,2031-1-13,陕西美邦药业集团股份有限公司,陕西蒲城县高新技术产业开发区
PD20210047,精甲霜灵,杀菌剂,种子处理悬浮剂,10%,2031-1-13,河南中州种子科技发展有限公司,河南省济源市东郊3公里
PD20210046,吡唑醚菌酯,杀菌剂,种子处理悬浮剂,18%,2031-1-13,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20210045,氰烯·戊唑醇,杀菌剂,种子处理悬浮剂,480克/升,2031-1-13,江苏省农药研究所股份有限公司,江苏省南京市化学工业园区长丰河路269号
PD20210044,精甲·咯·嘧菌,杀菌剂,种子处理悬浮剂,6%,2031-1-13,河南农王实业有限公司,尉氏县新尉工业园区富民路中段路北
PD20210043,丙环·咪鲜胺,杀菌剂,乳油,490克/升,2031-1-13,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20210042,咯菌腈,杀菌剂,悬浮剂,20%,2031-1-13,山东省青岛凯源祥化工有限公司,山东省青岛莱西市水集沽河工业园
PD20210041,啶酰菌胺,杀菌剂,悬浮剂,30%,2031-1-13,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20210040,噻霉酮,杀菌剂,水分散粒剂,12%,2031-1-13,陕西西大华特科技实业有限公司,陕西省西安市高新区科技二路65号清华科技园A座308室
PD20210039,唑醚·氰霜唑,杀菌剂,悬浮剂,30%,2031-1-13,河北利时捷生物科技有限公司,河北省赵县工业区生物产业园区兴园路8号
PD20210038,春雷·中生,杀菌剂,水分散粒剂,13%,2031-1-13,陕西先农生物科技有限公司,陕西省西安市未央区凤城二路海璟国际B2座15楼
PD20210037,稻瘟酰胺·咪鲜胺,杀菌剂,微囊悬浮-悬浮剂,25%,2031-1-13,江苏明德立达作物科技有限公司,江苏淮安盐化新材料产业园区孔莲路9号
PD20210036,枯草芽孢杆菌,杀菌剂,可湿性粉剂,1000亿CFU/克,2031-1-13,福建凯立生物制品有限公司,福建省长泰县兴泰工业区
PD20210035,氟唑菌酰羟胺,杀菌剂,悬浮剂,200克/升,2031-1-13,先正达南通作物保护有限公司,江苏省南通市经济开发区中央路1号
PD20210034,苯甲·吡唑酯,杀菌剂,悬浮剂,30%,2031-1-13,江苏七洲绿色化工股份有限公司,江苏省张家港市东沙化工集中区
PD20210033,烯酰·喹啉铜,杀菌剂,悬浮剂,46%,2031-1-13,顺毅股份有限公司,浙江省台州市椒江区外沙工业区
PD20210032,噁酮·氰霜唑,杀菌剂,悬浮剂,30%,2031-1-13,青岛瀚生生物科技股份有限公司,青岛莱西市深圳南路210号
PD20210031,霜脲·氰霜唑,杀菌剂,悬浮剂,24%,2031-1-13,浙江天丰生物科学有限公司,浙江省金华市婺城区大岩路666号
PD20210030,精甲·咯·嘧菌,杀菌剂,种子处理悬浮剂,6%,2031-1-13,湖南新长山农业发展股份有限公司,湖南省常德市汉寿县太子庙镇倒流坪社区金马路汉寿高新技术产业园区
PD20210029,啶菌噁唑·啶酰菌胺,杀菌剂,悬浮剂,25%,2031-1-13,山东省青岛凯源祥化工有限公司,山东省青岛莱西市水集沽河工业园
PD20210028,咯菌·嘧菌酯,杀菌剂,颗粒剂,0.2%,2031-1-13,山西运城绿康实业有限公司,山西省运城空港开发区关公西街
PD20210027,氟啶胺·精甲霜灵,杀菌剂,悬浮剂,36%,2031-1-13,华北制药集团爱诺有限公司,
PD20210026,敌草快,除草剂/植物生长调节剂,可溶液剂,32%,2031-1-13,潍坊新绿化工有限公司,山东省潍坊市滨海经济技术开发区海化工业园临港路以东辽河西二街以南
PD20210025,赤霉·氯吡脲,植物生长调节剂,可溶液剂,0.3%,2031-1-13,山东奥维特生物科技有限公司,山东省济南市济阳县济北开发区富阳街87号（汽车站西600米路北）
PD20210024,28-高芸苔素内酯,植物生长调节剂,可溶液剂,0.01%,2031-1-13,江西威敌生物科技有限公司,江西省南昌市进贤县工业开发区威化路
PD20210023,多效唑,植物生长调节剂,悬浮剂,25%,2031-1-13,江苏百灵农化有限公司,江苏省姜堰市姜官路4号桥口
PD20210022,乙烯利,植物生长调节剂,膏剂,5%,2031-1-13,安徽弘峰精细化工有限公司,
PD20210021,吲丁·萘乙酸,植物生长调节剂,可溶粉剂,12%,2031-1-13,四川省新兰月生物科技有限公司,四川省眉山高新技术产业园区君乐路5号
PD20210020,螺虫·呋虫胺,杀虫剂,可分散油悬浮剂,30%,2031-1-13,安阳市锐普农化有限责任公司,河南省郑州市金水区经三路北79号-16中业大厦22层
PD20210019,呋虫胺·醚菊酯,杀虫剂,可分散油悬浮剂,30%,2031-1-13,江苏龙灯化学有限公司,江苏省昆山开发区龙灯路88号
PD20210018,螺虫·噻虫啉,杀虫剂,悬浮剂,30%,2031-1-13,上海悦联生物科技有限公司,上海市金山区金山卫镇海金路899号
PD20210017,噻虫嗪,杀虫剂,种子处理悬浮剂,46%,2031-1-13,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20210016,甲维·茚虫威,杀虫剂,悬浮剂,15.5%,2031-1-13,安徽华微生物技术有限公司,安徽省宿州市埇桥区经济开发区化工园内纬二路南侧
PD20210015,虱螨脲,杀虫剂,悬浮剂,10%,2031-1-13,广西宾德利生物科技有限公司,广西壮族自治区玉林市玉州区仁厚镇大卢村脚底山
PD20210014,噻虫胺,杀虫剂,种子处理悬浮剂,8%,2031-1-13,河南瀚斯作物保护有限公司,河南省商丘市睢阳产业集聚区工业大道与睢化四路交叉口南500米路东
PD20210013,甲氨基阿维菌素苯甲酸盐,杀虫剂,微乳剂,5%,2031-1-13,安徽科苑植保工程有限责任公司,安徽省合肥市庐阳区农科南路40号
PD20210012,吡虫啉,杀虫剂,微囊悬浮剂,5%,2031-1-13,安徽科苑植保工程有限责任公司,安徽省合肥市庐阳区农科南路40号
PD20210011,虫螨·茚虫威,杀虫剂,悬浮剂,30%,2031-1-13,上海禾本药业股份有限公司,上海市金山区亭林镇林宝路2号
PD20210010,啶虫脒·联苯菊酯,杀虫剂,乳油,5%,2031-1-13,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20210009,阿维菌素,杀虫剂,悬浮剂,10%,2031-1-13,南京南农农药科技发展有限公司,江苏省南京化学工业园区普桥路183号
PD20210008,联苯·噻虫嗪,杀虫剂,悬浮剂,10%,2031-1-13,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20210007,氯氟·噻虫胺,杀虫剂,微囊悬浮-悬浮剂,25%,2031-1-13,江苏明德立达作物科技有限公司,江苏淮安盐化新材料产业园区孔莲路9号
PD20210006,虫螨腈·虱螨脲,杀虫剂,悬浮剂,12%,2031-1-13,山东省金农生物化工有限责任公司,山东省定陶县经济开发区（城南5公里）
PD20210005,苦参提取物,杀虫剂,可溶液剂,0.5%,2031-1-13,天门斯普林植物保护有限公司,湖北省天门市岳口工业园8号路
PD20210004,噻虫·咯·霜灵,杀菌剂/杀虫剂,种子处理悬浮剂,9%,2031-1-13,吉林八达作物科学有限公司,吉林省公主岭市工业大街179号
PD20210003,精甲霜·噻虫胺·噻呋,杀菌剂/杀虫剂,种子处理悬浮剂,30%,2031-1-13,四川科利隆作物科技有限公司,四川省广安市经开区新桥工业园
PD20210002,噻虫·咯·霜灵,杀菌剂/杀虫剂,种子处理悬浮剂,25%,2031-1-13,四川红种子高新农业有限责任公司,四川省成都市温江区柳城永兴路839号
PD20210001,诱虫烯,卫生杀虫剂,原药,90%,2031-1-13,鹤壁全丰生物科技有限公司,河南省鹤壁市鹤山区姬家山产业园1号
PD20152605,草甘膦异丙胺盐,除草剂,水剂,41%,2031-1-13,广西浦发生物科技有限公司,山东省东营市垦利区胜坨镇胜景路1号1幢108室
PD85150-33,多菌灵,杀菌剂,可湿性粉剂,50%,2031-1-12,江苏百灵农化有限公司,江苏省姜堰市姜官路4号桥口
WP20110017,防霉防蛀片剂,卫生杀虫剂,片剂,99%,2031-1-10,山东仕邦农化有限公司,山东省菏泽市单县谢集镇单县化工产业园滨河北路中段路东
WP20110015,氟虫腈,卫生杀虫剂,微乳剂,3%,2031-1-10,佛山市盈辉作物科学有限公司,广东省佛山市禅城区季华五路金融广场15楼
WP20110014,驱蚊花露水,卫生杀虫剂,驱蚊花露水,5%,2031-1-10,纳润（厦门）科技有限公司,福建省厦门市湖里区仙岳路860号台商务馆11楼
WP20110013,杀虫气雾剂,卫生杀虫剂,气雾剂,0.161%,2031-1-10,上海庄臣有限公司,中国（上海）自由贸易试验区新金桥路932号
PD91104-20,敌敌畏,杀虫剂,乳油,48%,2031-1-10,安道麦辉丰（江苏）有限公司,江苏省盐城市大丰区王港闸南首
PD20110069,四聚乙醛,杀虫剂,原药,98%,2031-1-10,南通金陵农化有限公司,江苏省如东县沿海经济开发区化学工业园黄海二路
PD20110068,咪鲜胺,杀菌剂,乳油,25%,2031-1-10,陕西标正作物科学有限公司,高新技术产业开发区朝阳大街西段67号
PD20110067,阿维·三唑磷,杀虫剂,乳油,20%,2031-1-10,桂林集琦生化有限公司,广西壮族自治区桂林市育才路55号
PD20110066,烟嘧·莠去津,除草剂,可湿性粉剂,52%,2031-1-10,宁波石原金牛农业科技有限公司,浙江省象山县城东工业园区永昌路6号
PD20110065,丙草胺,除草剂,乳油,30%,2031-1-10,合肥星宇化学有限责任公司,安徽省合肥市循环经济示范园内
PD20110063,氯氟吡氧乙酸异辛酯,除草剂,乳油,200克/升,2031-1-10,安徽美兰农业发展股份有限公司,安徽省合肥市蜀山区小庙工业聚集区
PD20110062,杀螟硫磷,杀虫剂,原药,95%,2031-1-10,新沂市泰松化工有限公司,江苏省新沂市经济开发区纬六路118号
PD20110061,乙酰甲胺磷,杀虫剂,原药,95%,2031-1-10,河南科辉实业有限公司,河南省新密市白寨镇光武陈村
PD20110060,代森锌,杀菌剂,原药,90%,2031-1-10,天津绿地生物科技有限公司,天津市津南区八里台镇八里台工业园区中鼎创意园6号楼204-5室
PD20110058,苦参碱,杀虫剂,可溶液剂,0.5%,2031-1-10,北京三浦百草生物药业有限公司,北京市朝阳区白家庄路甲3号白家庄商务中心C座5层
PD20110056,马拉硫磷,杀虫剂,原药,95%,2031-1-10,新沂市泰松化工有限公司,江苏省新沂市经济开发区纬六路118号
PD20110055,倍硫磷,杀虫剂,原药,95%,2031-1-10,新沂市泰松化工有限公司,江苏省新沂市经济开发区纬六路118号
PD20110054,苯醚甲环唑,杀菌剂,乳油,250克/升,2031-1-10,宁波三江益农化学有限公司,浙江省宁波市镇海区宁波化学工业区北海路1165号
PD20110053,氢氧化铜,杀菌剂,水分散粒剂,46%,2031-1-10,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20110051,咪锰·多菌灵,杀菌剂,可湿性粉剂,59.7%,2031-1-10,安道麦辉丰（江苏）有限公司,江苏省盐城市大丰区王港闸南首
PD20110050,草甘膦铵盐,除草剂,可溶粒剂,68%,2031-1-10,山东潍坊润丰化工股份有限公司,山东省潍坊市滨海经济开发区氯碱路03001号
PD20110049,乙氧氟草醚,除草剂,原药,97%,2031-1-10,四川禾本作物保护有限公司,四川省南充市嘉陵区河西镇河西大道二段30号
PD20110048,吡虫·噻嗪酮,杀虫剂,可湿性粉剂,20%,2031-1-10,淄博恒生农药有限公司,淄川区罗村镇小吊桥村西首
PD20110047,草甘膦异丙胺盐,除草剂,水剂,30%,2031-1-10,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20110045,噻嗪酮,杀虫剂,可湿性粉剂,25%,2031-1-10,广西贝嘉尔生物化学制品有限公司,广西隆安县华侨管理区（广西隆安浪湾华侨农场那飞分场）
PD20110044,丙草胺,除草剂,原药,96%,2031-1-10,长青（湖北）生物科技有限公司,宜昌姚家港化工园田家河片区马家铺路6号
PD20110043,阿维·氟铃脲,杀虫剂,乳油,3%,2031-1-10,江苏华农生物化学有限公司,江苏省东台市北关路28号
PD20110041,多菌灵,杀菌剂,可湿性粉剂,80%,2031-1-10,青岛中达农业科技有限公司,山东省青岛市平度市新河生态化工科技产业基地升水路3号
PD20110040,甲基硫菌灵,杀菌剂,可湿性粉剂,70%,2031-1-10,青岛中达农业科技有限公司,山东省青岛市平度市新河生态化工科技产业基地升水路3号
PD20110039,"2,4-滴异辛酯",除草剂,乳油,50%,2031-1-10,江苏永泰丰作物科学有限公司,江苏省淮安市盐化新材料产业园区（洪泽片区）盐都路18号
PD20110038,甲氨基阿维菌素苯甲酸盐,杀虫剂,乳油,1%,2031-1-10,广西德丰富化工有限责任公司,城厢镇象岭路17号
PD20110037,炔螨特,杀虫剂,乳油,57%,2031-1-10,济南中科绿色生物工程有限公司,山东省济南市厉城区唐治西路868号山东设计创意产业园33-1号楼2106室
EX20250128,氟虫腈,杀虫剂,悬浮剂,50克/升,2031-1-10,一帆生物科技集团有限公司,浙江省温州市龙湾区瑶溪街道长安路555号
PD20060023,霜脲·锰锌,杀菌剂,可湿性粉剂,72%,2031-1-9,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20060008,噁酮·霜脲氰,杀菌剂,水分散粒剂,52.5%,2031-1-9,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20060003,噻虫嗪,杀虫剂,水分散粒剂,25%,2031-1-9,瑞士先正达作物保护有限公司,上海市中国(上海)自由贸易试验区栖霞路26弄3号富汇大厦6楼
PD20060002,噻虫嗪,杀虫剂,种子处理可分散粉剂,70%,2031-1-9,瑞士先正达作物保护有限公司,上海市中国(上海)自由贸易试验区栖霞路26弄3号富汇大厦6楼
WP20060002,杀蟑胶饵,卫生杀虫剂,饵剂,2%,2031-1-8,巴斯夫欧洲公司,上海市浦东新区江心沙路300号
WP20060001,氟蚁腙,卫生杀虫剂,原药,95%,2031-1-8,巴斯夫欧洲公司,上海市浦东新区江心沙路300号
PD85157-4,辛硫磷,杀虫剂,乳油,40%,2031-1-8,山东埃森化学有限公司,山东省临沂经经济开发区正大路99号
PD85156-2,辛硫磷,杀虫剂,原药,"85%,75%",2031-1-8,山东埃森化学有限公司,山东省临沂经经济开发区正大路99号
PD85124-2,福·福锌,杀菌剂,可湿性粉剂,80%,2031-1-8,万稼植保（河北）有限公司,河北省衡水市武邑县清凉店镇长兴路十九号
PD85122-3,福美双,杀菌剂,可湿性粉剂,50%,2031-1-8,万稼植保（河北）有限公司,河北省衡水市武邑县清凉店镇长兴路十九号
PD85104-8,敌敌畏,杀虫剂,原药,95%，92%,2031-1-8,安徽兴隆化工有限公司,安徽省池州市东至县香隅镇化工园区
PD20060027,双氟磺草胺,除草剂,悬浮剂,50克/升,2031-1-8,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20060026,双氟磺草胺,除草剂,原药,97%,2031-1-8,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20060025,高效氟氯氰菊酯,杀虫剂,乳油,25克/升,2031-1-8,拜耳股份公司,北京市朝阳区东大桥路9号楼6层4单元601室内D06单元、1单元601室内A03-A06单元
PD20060024,高效氟氯氰菊酯,杀虫剂,原药,96.5%,2031-1-8,拜耳股份公司,北京市朝阳区东大桥路9号楼6层4单元601室内D06单元、1单元601室内A03-A06单元
PD20060022,霜脲氰,杀菌剂,原药,96%,2031-1-8,科迪华农业科技有限责任公司,北京市东城区东长安街1号东方广场W3办公楼1103室
PD20060021,唑草酮,除草剂,水分散粒剂,40%,2031-1-8,美国富美实公司,上海市浦东新区张江高科技园区金科路4560号3号楼
PD20060020,唑草酮,除草剂,原药,90%,2031-1-8,美国富美实公司,上海市浦东新区张江高科技园区金科路4560号3号楼
PD20060019,茚虫威,杀虫剂,悬浮剂,150克/升,2031-1-8,美国富美实公司,上海市浦东新区张江高科技园区金科路4560号3号楼
PD20060018,茚虫威,杀虫剂,母药,70.3%,2031-1-8,美国富美实公司,上海市浦东新区张江高科技园区金科路4560号3号楼
PD20060017,茚虫威,杀虫剂,原药,94%,2031-1-8,美国富美实公司,上海市浦东新区张江高科技园区金科路4560号3号楼
PD20060014,嘧霉胺,杀菌剂,悬浮剂,400克/升,2031-1-8,拜耳股份公司,北京市朝阳区东大桥路9号楼6层4单元601室内D06单元、1单元601室内A03-A06单元
